,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage Gelderland,Dike Investment Costs Gelderland,Expected Number of Deaths in Gelderland,Expected Annual Damage Overijssel,Dike Investment Costs Overijssel,Expected Number of Deaths in Overijssel,RfR Total Costs,Expected Total Evacuation Costs
65,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,4,3,6,7,0,7,0,6,3,7,0,1,0,4,3,14164704.46632505,400113344.93291056,0.011919731888938015,40081085.325389504,90353204.48842473,0.01725997565517798,485000000.0,0.0
66,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,10,2,7,1,8,1,3,4,2,32445421.76381972,201951839.54741275,0.014721316340105272,765994.125026732,133692251.0642913,0.00019418213383145177,236500000.0,0.0
67,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,4,2,0,2,0,7,1,9,3,3,1,2,0,1,3,0.0,307849534.2114587,0.0,65462460.98471393,80257242.73494884,0.02836557456693743,958900000.0,0.0
68,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,3,2,7,1,6,2,8,5,3,0,2,3,5187673.881000885,295441556.51618445,0.004398899706709391,48704428.2219085,103714428.23110445,0.021096122974344995,267200000.0,0.0
69,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,7,9,4,0,7,4,7,7,0,0,3,1,61679335.72140758,436602516.22710854,0.052601862548484805,4801362.995823004,90349020.57267478,0.002053821141564442,423600000.0,0.0
70,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,2,6,2,2,1,0,1,1,3,0,9,0,8090372.050700955,250610905.43423072,0.005844018263372604,94163702.66903156,75012589.13520297,0.039921522741787015,891600000.0,0.0
71,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,6,1,1,1,1,1,5,4,5,1,0,2,2,18864785.19194244,316590241.2716397,0.01069772675396865,23323052.562584087,87982307.65045509,0.009990524062585548,236500000.0,0.0
72,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,4,5,1,3,8,3,5,6,5,2,0,5,0,5,0,2848318.669545421,468416760.72893846,0.0002007285847460337,93752689.49227545,55846910.96710935,0.005981276096295723,520200000.0,2315.15897573537
73,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,3,2,6,3,7,3,3,2,5,0,1,0,4,0,0,2,0.0,411287200.963992,0.0,94931010.06159554,43925518.76061992,0.004838735852207962,438700000.0,2849.9659243213605
74,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,4,0,3,0,7,6,1,3,2,4,5,0,2,2,0.0,297958035.0886577,0.0,49519454.495692216,88315664.07300875,0.007671916093580939,595100000.0,718.5103523586885
